,item_name,calories,protein,carbs,fat
33272,GF Sub Roll,470.000,12.000,76.000,15.0
33273,GF Sub Roll,235.000,6.000,38.000,7.5
33274,Grilled Chicken Breast,94.709,19.796,0.010,1.722
33275,Grilled Onions,112.870,1.498,11.184,8.292
33276,Grilled Pepper Strips,32.926,0.627,4.571,1.883
33277,Half White Sub Roll,128.000,4.000,26.000,0.5
33278,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
33279,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
33280,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
33281,Hot Wing Sauce,43.129,0.171,0.597,7.636
33282,Ketchup,33.353,0.000,8.338,0.0
33283,Mayonnaise,189.000,0.000,0.000,23.626
33284,Potato Roll,210.000,7.000,38.000,3.5
33285,Provolone Cheese,101.250,7.088,1.013,12.151
33286,Provolone Cheese,101.250,7.088,1.013,12.151
33287,Provolone Cheese,202.500,14.176,2.026,24.302
33288,Ranch Dressing,118.182,0.192,0.466,14.401
33289,Sauteed Mushrooms,19.794,1.060,2.886,0.8879999999999999
33290,Shredded Lettuce,3.969,0.255,0.841,0.045
33291,Sliced American Cheese,103.761,5.141,1.355,13.826
33292,Sliced American Cheese,103.761,5.141,1.355,13.826
33293,Sliced American Cheese,207.522,10.281,2.709,27.651
33294,Sliced Bacon,201.600,14.400,0.000,24.48
33295,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
33296,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
33297,Sliced Cheddar Cheese,228.826,14.176,0.000,30.374000000000002
33298,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
33299,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
33300,Sliced Monterey Jack Cheese,233.886,12.758,2.126,27.642000000000003
33301,Sliced Onions,11.340,0.312,2.648,0.04
33302,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
33303,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
33304,Sliced Pepper Jack Cheese,202.500,12.150,2.026,26.326
33305,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
33306,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
33307,Sliced Swiss Cheese Cheese,222.832,15.286,0.816,27.906
33308,Sliced Tomatoes,3.408,0.166,0.736,0.044
33309,Turkey Bacon,63.000,6.300,0.000,5.25
33310,Turkey Burger,162.000,19.237,0.000,11.138
33311,Shrimp Scampi with Penne Pasta,385.393,15.381,41.920,21.005
33312,Beef Taco,231.609,13.112,17.587,15.681999999999999
33313,Taco Bar Toppings,234.817,7.884,8.697,26.756
33314,Vegetable Lo Mein,224.630,8.407,37.421,6.665
33315,Churros,202.504,1.045,29.586,11.816
33316,Corn & Black Beans,77.929,3.190,14.954,1.207
33317,Mexican Rice,85.043,2.007,17.767,0.484
33318,Cheese Pizza,2627.528,133.416,305.032,155.424
33319,Cheese Pizza Slice,328.441,16.677,38.129,19.428
33320,Cheesy Cheesesteak Pizza,383.325,20.727,40.040,23.838
33321,Gluten Free Pepperoni Pizza,755.675,24.531,80.599,54.120000000000005
33322,Pepperoni  Pizza,2913.296,144.328,305.696,191.704
33323,Pepperoni  Pizza Slice,364.162,18.041,38.212,23.963
33324,Tortellini w/ Romesco Sauce,688.024,14.563,68.285,48.245999999999995
33325,Applesauce,162.448,0.007,41.548,0.003
33326,Celery Sticks w/Peanut Butter,363.872,13.580,15.684,34.026
33327,Hard Boiled Eggs,136.400,11.070,0.986,12.212
33328,Large Chicken Caesar Salad,347.213,27.193,24.014,18.062
33329,PB & Grape Jelly on White Bread,365.315,9.806,48.966,17.733
33330,Small Caesar Salad,195.838,9.768,12.214,13.142999999999999
33331,Small Garden Salad,35.827,2.094,7.620,0.501
33332,Vanilla Cookies & Cream Pudding Parfait,319.227,1.910,52.270,17.208
33334,Grilled Onions & Peppers,20.486,0.393,2.911,1.079
33335,Pollo Asado,81.117,11.867,1.700,4.477
33336,Pork Carnitas,171.508,11.880,0.000,17.740000000000002
33337,Primavera Vegetables,27.282,0.782,4.476,1.0070000000000001
33338,Soft Flour Tortilla,80.000,2.000,13.000,1.5
33339,Southwestern Rice,89.978,2.126,19.381,0.20199999999999999
33340,Steamed Green Beans,20.321,1.081,4.681,0.155
33341,Grilled Chicken,203.020,28.079,0.009,11.864
33342,Alfredo Sauce ,233.394,3.808,2.796,38.718
33343,Cheese Pizza,164.221,8.339,19.065,9.715
33344,Pepperoni  Pizza,182.081,9.021,19.106,11.982
33345,Basmati Rice,122.244,2.180,22.458,2.633
33346,Dal Makhani,248.676,17.910,43.853,14.986
33347,Soft Flour Tortilla,80.000,2.000,13.000,1.5
33348,Steamed Green Beans,20.321,1.081,4.681,0.155
33349,Vegan Taco Filling,112.713,11.916,8.274,5.3919999999999995
33350,Veggie Burger Patty,170.000,7.000,21.000,6.0
33351,Mexican Chocolate Cake,403.570,3.618,62.227,24.281
33356,Chicken Tenders,567.130,33.779,33.779,40.128
33357,Fries,307.980,2.700,31.050,23.31
33358,Loaded French Fries,541.805,5.995,38.605,48.735
33359,Mozzarella Sticks,452.954,17.627,28.351,38.673
33360,Avocado Mayonnaise,122.850,0.472,0.945,14.648
33361,Beef Cheesesteak,259.200,30.780,4.860,15.39
33363,Chicken Cheesesteak,350.280,38.880,4.860,22.32
33364,Dill Pickle Chips,0.996,0.000,0.199,0.0
33365,Extra Beef Cheesesteak,129.600,15.390,2.430,7.695
33366,Extra Chicken Cheesesteak,175.140,19.440,2.430,11.16
33367,Extra Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
33368,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
33369,Extra Provolone Cheese,101.250,7.088,1.013,12.151
33370,Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
33371,GF Hamburger Roll,485.714,7.286,99.571,6.071
33372,GF Sub Roll,470.000,12.000,76.000,15.0
33373,GF Sub Roll,235.000,6.000,38.000,7.5
33374,Grilled Chicken Breast,94.709,19.796,0.010,1.722
33375,Grilled Onions,112.870,1.498,11.184,8.292
33376,Grilled Pepper Strips,32.926,0.627,4.571,1.883
33377,Half Provolone Cheese,101.250,7.088,1.013,12.151
33378,Half White Sub Roll,128.000,4.000,26.000,0.5
33379,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
33380,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
33381,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
33382,Hot Wing Sauce,43.129,0.171,0.597,7.636
33383,Ketchup,33.353,0.000,8.338,0.0
33384,Mayonnaise,189.000,0.000,0.000,23.626
33385,Potato Roll,210.000,7.000,38.000,3.5
33386,Provolone Cheese,202.500,14.176,2.026,24.302
33387,Provolone Cheese,101.250,7.088,1.013,12.151
33388,Provolone Cheese,101.250,7.088,1.013,12.151
33389,Provolone Cheese,202.500,14.176,2.026,24.302
33390,Ranch Dressing,118.182,0.192,0.466,14.401
33391,Ranch Dressing,59.091,0.096,0.233,7.201
33392,Sauteed Mushrooms,19.794,1.060,2.886,0.8879999999999999
33393,Shredded Lettuce,3.969,0.255,0.841,0.045
33394,Sliced American Cheese,103.761,5.141,1.355,13.826
33395,Sliced American Cheese,103.761,5.141,1.355,13.826
33396,Sliced American Cheese,207.522,10.281,2.709,27.651
33397,Sliced Bacon,201.600,14.400,0.000,24.48
33398,Sliced Bacon,201.600,14.400,0.000,24.48
33399,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
33400,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
33401,Sliced Cheddar Cheese,228.826,14.176,0.000,30.374000000000002
